an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol,fetch_timestamp
27-Jul-2026 07:22:36,491.87 KB,https://nsearchives.nseindia.com/corporate/MEGASOFT_27072026072202_SASL_PR_20260727-signed.pdf,"SIGMA ADVANCED SYSTEMS LIMITED has informed the Exchange regarding a press release dated July 27, 2026, titled ""Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirement) Regulations, 2015 - Press Release -  Sigma Advanced Systems Secures USD 104.9 Million (roughly INR 1,013 Cr.) Export Order for Next-generation Extended Range 155mm Base Bleed Artillery Shells"".",,,Press Release,00:00:00,27072026072236,27-Jul-2026 07:22:36,491.87 KB,True,,,106711308,,INE933B01012,SIGMA ADVANCED SYSTEMS LIMITED,2026-07-27 07:22:36,SIGMAADV,2026-07-27 02:54:34
26-Jul-2026 23:54:08,1.86 MB,https://nsearchives.nseindia.com/corporate/ZENTEC_26072026235400_IPCLSigned26072026.pdf,Zen Technologies Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,26072026235408,26-Jul-2026 23:54:09,1.86 MB,True,,,106711307,,INE251B01027,Zen Technologies Limited,2026-07-26 23:54:08,ZENTEC,2026-07-27 02:54:34
26-Jul-2026 23:43:46,2.20 MB,https://nsearchives.nseindia.com/corporate/MANYAVAR_26072026234323_VFLSEIntiNPJun26.pdf,"Vedant Fashions Limited has informed the exchange about the copies of newspaper publications in respect of financial results for the quarter ended June 30, 2026.",,,Copy of Newspaper Publication,00:00:01,26072026234346,26-Jul-2026 23:43:47,2.20 MB,True,,,106711306,,INE825V01034,Vedant Fashions Limited,2026-07-26 23:43:46,MANYAVAR,2026-07-27 02:54:34
26-Jul-2026 23:19:39,946.22 KB,https://nsearchives.nseindia.com/corporate/ZENTEC_26072026231932_PR26072026Signed.pdf,"Zen Technologies Limited has informed the Exchange regarding a press release dated July 26, 2026, titled ""Zen Technologies, India s leading anti-drone technology and defense training solutions provider announced its financial results for Q1FY27"".",,,Press Release,00:00:02,26072026231939,26-Jul-2026 23:19:41,946.22 KB,True,,,106711305,,INE251B01027,Zen Technologies Limited,2026-07-26 23:19:39,ZENTEC,2026-07-27 02:54:34
26-Jul-2026 23:15:24,4.18 MB,https://nsearchives.nseindia.com/corporate/ZENTEC_26072026231514_NP26072026Signed.pdf,Zen Technologies Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,26072026231524,26-Jul-2026 23:15:25,4.18 MB,True,,,106711304,,INE251B01027,Zen Technologies Limited,2026-07-26 23:15:24,ZENTEC,2026-07-27 02:54:34
26-Jul-2026 23:09:55,1.78 MB,https://nsearchives.nseindia.com/corporate/ONESOURCECDMO_26072026230930_OS_Intimation_Newspaper_advertisement_f.pdf,Onesource Specialty Pharma Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,26072026230955,26-Jul-2026 23:09:56,1.78 MB,True,,,106711303,,INE013P01021,Onesource Specialty Pharma Limited,2026-07-26 23:09:55,ONESOURCE,2026-07-27 02:54:34
26-Jul-2026 22:51:17,5.18 MB,https://nsearchives.nseindia.com/corporate/ALLSEC_26072026225102_SdFileNewspaperPublFinResults26072026.pdf,Alldigi Tech Limited has informed the Exchange about Copy of Newspaper Publication on Financial Results,,,Copy of Newspaper Publication,00:00:00,26072026225117,26-Jul-2026 22:51:17,5.18 MB,True,,,106711300,,INE835G01018,Alldigi Tech Limited,2026-07-26 22:51:17,ALLDIGI,2026-07-27 02:54:34
26-Jul-2026 22:47:49,5.18 MB,https://nsearchives.nseindia.com/corporate/ALLSEC_26072026224726_SdFileNewspaperPublRecordDate26072026.pdf,Alldigi Tech Limited has informed the Exchange about Copy of Newspaper Publication on Interim Dividend,,,Copy of Newspaper Publication,00:00:02,26072026224749,26-Jul-2026 22:47:51,5.18 MB,True,,,106711299,,INE835G01018,Alldigi Tech Limited,2026-07-26 22:47:49,ALLDIGI,2026-07-27 02:54:34
26-Jul-2026 22:18:59,296.62 KB,https://nsearchives.nseindia.com/corporate/SMCGLOBAL_ROID_93022_KMP_Doc.zip,Smc Global Securities Limited has informed the Exchange about Resignation of Director/KMP/SMP,,,Resignation of Director/KMP/SMP,00:00:01,26072026221859,26-Jul-2026 22:19:00,296.62 KB,True,,,106711298,,INE103C01036,SMC Global Securities Limited,2026-07-26 22:18:59,SMCGLOBAL,2026-07-27 02:54:34
26-Jul-2026 22:18:33,331.25 KB,https://nsearchives.nseindia.com/corporate/SMCGLOBAL_26072026221827_CHANGE_IN_MANAGEMENT.pdf,"Smc Global Securities Limited has informed the Exchange regarding Resignation of Mr Mr. Nikhil Mehta as Other of the company w.e.f. May 30, 2026.",,,Resignation,00:00:01,26072026221833,26-Jul-2026 22:18:34,331.25 KB,True,,,106711296,,INE103C01036,SMC Global Securities Limited,2026-07-26 22:18:33,SMCGLOBAL,2026-07-27 02:54:34
26-Jul-2026 22:13:54,279.24 KB,https://nsearchives.nseindia.com/corporate/SMCGLOBAL_26072026221302_appointment_OF_COMPLAINCE_OFFICER.pdf,Smc Global Securities Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,26072026221354,26-Jul-2026 22:13:55,279.24 KB,True,,,106711295,,INE103C01036,SMC Global Securities Limited,2026-07-26 22:13:54,SMCGLOBAL,2026-07-27 02:54:34
26-Jul-2026 22:11:25,280.98 KB,https://nsearchives.nseindia.com/corporate/SMCGLOBAL_26072026221109_CHANGE_OF_COMPLIANCE_OFFICER.pdf,Smc Global Securities Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,26072026221125,26-Jul-2026 22:11:26,280.98 KB,True,,,106711294,,INE103C01036,SMC Global Securities Limited,2026-07-26 22:11:25,SMCGLOBAL,2026-07-27 02:54:34
