companyName,issueEndDate,issuePrice,issueSize,issueStartDate,series,status,symbol,category,noOfSharesOffered,noOfTime,noOfsharesBid,srNo,isBse,fetch_timestamp
LCC Projects Limited,11-Sep-2026,Rs.139 to Rs.146,20927281,09-Sep-2026,EQ,Active,LCCPROJECT,Total,0.0,0.00,0.0,,,2026-09-09 03:21:38
Karamtara Engineering Limited,11-Sep-2026,Rs.241 to Rs.254,25414937,09-Sep-2026,EQ,Active,KARAMTARA,Total,0.0,0.00,0.0,,,2026-09-09 03:21:38
Asset Reconstruction Company (India) Limited,11-Sep-2026,Rs.132 to Rs.139,36912363,09-Sep-2026,EQ,Active,ARCIL,Total,0.0,0.00,0.0,,,2026-09-09 03:21:38
Steamhouse India Limited,11-Sep-2026,Rs.77 to Rs.81,37636363,09-Sep-2026,EQ,Active,STEAMHOUSE,Total,0.0,0.00,0.0,,,2026-09-09 03:21:38
Manipal Payment and Identity Solutions Limited,11-Sep-2026,Rs.322 to Rs.339,13060472,09-Sep-2026,EQ,Active,MPIMANIPAL,Total,0.0,0.00,0.0,,,2026-09-09 03:21:38
Rentomojo Limited,11-Sep-2026,Rs.384 to Rs.404,21772311,09-Sep-2026,EQ,Active,RENTOMOJO,Total,0.0,0.00,0.0,,,2026-09-09 03:21:38
Prasol Chemicals Limited,10-Sep-2026,Rs.643 to Rs.676,5443229,08-Sep-2026,EQ,Active,PRASOLCHEM,Total,5443229.0,0.25976529739976034,1413962.0,,,2026-09-09 03:21:38
Glass Wall Systems (India) Limited,10-Sep-2026,Rs.172 to Rs.182,16457298,08-Sep-2026,EQ,Active,GLASSWALL,Total,1.6457298E7,1.7716502429499665,2.9156576E7,,,2026-09-09 03:21:38
Kanohar Electricals Limited,10-Sep-2026,Rs.601 to Rs.632,11693326,08-Sep-2026,EQ,Active,KANOHAR,Total,1.1693326E7,2.0479283652914493,2.3947094E7,,,2026-09-09 03:21:38
Pranav Constructions Limited,09-Sep-2026,Rs.118 to Rs.124,22463137,07-Sep-2026,EQ,Active,PRANAV,Total,2.2463137E7,12.260695378388156,2.7541368E8,,,2026-09-09 03:21:38
Vinod Texworld Limited,11-Sep-2026,,,09-Sep-2026,SME,Active,VINOD,,4556400,,,,1,2026-09-09 03:21:38
